Species,Expert,RCP,yr12,yr15,yr20,yr25,yr30,yr35,yr40,yr45,yr50,yr55,yr60,yr65,yr70,yr75,yr80,yr85,yr90,yr95,yr00,Dif12_00
Sphyraena_jello,0,6,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,326146.528,0
Sphyraena_obtusata,1,6,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,327070.413,0
Synodus_myops,0,6,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,339334.548,0
Upeneus_bensasi,0,6,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Upeneus_moluccensis,1,6,122720.121,133643.132,157548.055,169475.162,179685.802,191612.909,203590.726,215463.563,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,223734.077,101014
Upeneus_sulphureus,0,6,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,0
Upeneus_tragula,1,6,251981.97,251981.97,262192.61,274065.447,274065.447,274065.447,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,282335.961,280514.238,274096.75,265769.48,254062.121,254062.121,229767.29,-22214.7
Dussumieria_acuta,0,8.5,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,260561.102,258739.379,252321.891,228095.027,215986.559,203800.195,203800.195,175191.701,-85369.4
Lactarius_lactarius,0,8.5,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,300215.297,287515.89,275988.432,263641.423,251693.6,228431.099,198991.645,110013.769,-198440.7
Lepturacanthus_savala,0,8.5,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,300215.297,287515.89,275988.432,263641.423,251693.6,228431.099,198991.645,110013.769,-198440.7
Lutjanus_lutjanus,0,8.5,296386.001,296386.001,296386.001,296386.001,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,308454.508,306632.784,300215.297,275988.432,263879.965,251693.6,239625.093,198991.645,-97394.4
Megalaspis_cordyla,0,8.5,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,307530.623,305708.899,299291.412,275064.547,262956.08,250769.715,238701.208,198067.76,-109462.9
Nemipterus_japonicus,1,8.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,294564.277,288146.789,263919.925,251811.458,239625.093,239625.093,198991.645,-97394.4
Parupeneus_heptacanthus,0,8.5,295276.975,305487.615,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,317360.452,315538.728,309121.24,284894.376,272785.909,245090.526,233022.019,183524.987,-111752
Pennahia_anea,0,8.5,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,296386.001,294564.277,288146.789,263919.925,251811.458,239625.093,239625.093,198991.645,-97394.4
