Region,Depth int,NoStation,Species,t/nm2,Biom_t,Biom_kg
Arakan Coast,100 - 200,12,Snappers,0,0,0
Arakan Coast,200 - 500,2,Snappers,0,0,0
Delta Area,20 - 50,14,Snappers,0,8.8,8800
Delta Area,50 - 100,22,Snappers,0,30.2,30200
Delta Area,100 - 200,17,Snappers,0,183.4,183400
Delta Area,200 - 500,5,Snappers,0,0,0
Tenasserim coast,20 - 50,2,Snappers,0,0,0
Tenasserim coast,50 - 100,18,Snappers,0,339.4,339400
Tenasserim coast,100 - 200,11,Snappers,0,116.8,116800
Tenasserim coast,200 - 500,13,Snappers,0,0,0
Tenasserim coast,500 - 1000,2,Snappers,0,0,0
Arakan Coast,20 - 50,14,Soles,0,0,0
Arakan Coast,50 - 100,13,Soles,0,45.8,45800
Arakan Coast,100 - 200,12,Soles,0,2.4,2400
Arakan Coast,200 - 500,2,Soles,0,0,0
Delta Area,20 - 50,14,Soles,0,407.1,407100
Delta Area,50 - 100,22,Soles,0.1,532.9,532900
Delta Area,100 - 200,17,Soles,0.1,323.6,323600
Delta Area,200 - 500,5,Soles,0,0,0
Tenasserim coast,20 - 50,2,Soles,0.1,320,320000
Tenasserim coast,50 - 100,18,Soles,0.1,824.3,824300
Tenasserim coast,100 - 200,11,Soles,0.1,203.7,203700
Tenasserim coast,200 - 500,13,Soles,0,161.4,161400
Tenasserim coast,500 - 1000,2,Soles,0,0,0
Arakan Coast,20 - 50,14,Stromateidae,0,66.9,66900
Arakan Coast,50 - 100,13,Stromateidae,0,0,0
Arakan Coast,100 - 200,12,Stromateidae,0,0,0
Arakan Coast,200 - 500,2,Stromateidae,0,0,0
Delta Area,20 - 50,14,Stromateidae,0,194.7,194700
Delta Area,50 - 100,22,Stromateidae,0,40.2,40200
Delta Area,100 - 200,17,Stromateidae,0,0,0
Delta Area,200 - 500,5,Stromateidae,0,0,0
Tenasserim coast,20 - 50,2,Stromateidae,0,0,0
Tenasserim coast,50 - 100,18,Stromateidae,0,0,0
Tenasserim coast,100 - 200,11,Stromateidae,0,0,0
Tenasserim coast,200 - 500,13,Stromateidae,0,0,0
Tenasserim coast,500 - 1000,2,Stromateidae,0,0,0
Arakan Coast,20 - 50,14,Synodontidae,0.1,245.3,245300
Arakan Coast,50 - 100,13,Synodontidae,0.2,589.5,589500
Arakan Coast,100 - 200,12,Synodontidae,0.7,839.5,839500
Arakan Coast,200 - 500,2,Synodontidae,0,0,0
Delta Area,20 - 50,14,Synodontidae,0.3,2327.4,2327400
Delta Area,50 - 100,22,Synodontidae,0.2,2382.8,2382800
Delta Area,100 - 200,17,Synodontidae,0.5,2745.4,2745400
Delta Area,200 - 500,5,Synodontidae,0,5.3,5300
Tenasserim coast,20 - 50,2,Synodontidae,0.5,2638.4,2638400
Tenasserim coast,50 - 100,18,Synodontidae,0.5,3814.2,3814200
Tenasserim coast,100 - 200,11,Synodontidae,0.3,809.5,809500
Tenasserim coast,200 - 500,13,Synodontidae,0,0,0
Tenasserim coast,500 - 1000,2,Synodontidae,0,0,0
Arakan Coast,20 - 50,14,Threadfin,0,5.4,5400
Arakan Coast,50 - 100,13,Threadfin,0,0,0
Arakan Coast,100 - 200,12,Threadfin,0,0,0
Arakan Coast,200 - 500,2,Threadfin,0,0,0
Delta Area,20 - 50,14,Threadfin,0.1,522.1,522100
Delta Area,50 - 100,22,Threadfin,0,140.8,140800
Delta Area,100 - 200,17,Threadfin,0,5.4,5400
Delta Area,200 - 500,5,Threadfin,0,0,0
Tenasserim coast,20 - 50,2,Threadfin,0,0,0
Tenasserim coast,50 - 100,18,Threadfin,0,0,0
Tenasserim coast,100 - 200,11,Threadfin,0,0,0
Tenasserim coast,200 - 500,13,Threadfin,0,0,0
Tenasserim coast,500 - 1000,2,Threadfin,0,0,0
Arakan Coast,20 - 50,14,Threadfin breams,0.2,409.6,409600
Arakan Coast,50 - 100,13,Threadfin breams,0.3,978.8,978800
Arakan Coast,100 - 200,12,Threadfin breams,0.2,209.6,209600
Arakan Coast,200 - 500,2,Threadfin breams,0,0,0
Delta Area,20 - 50,14,Threadfin breams,0,389.4,389400
Delta Area,50 - 100,22,Threadfin breams,0.3,3187.2,3187200
Delta Area,100 - 200,17,Threadfin breams,0.3,1677.5,1677500
Delta Area,200 - 500,5,Threadfin breams,0,0,0
Tenasserim coast,20 - 50,2,Threadfin breams,0,0,0
Tenasserim coast,50 - 100,18,Threadfin breams,0.2,1680.8,1680800
Tenasserim coast,100 - 200,11,Threadfin breams,0,133.1,133100
Tenasserim coast,200 - 500,13,Threadfin breams,0,0,0
Tenasserim coast,500 - 1000,2,Threadfin breams,0,0,0
